time	pelvis_imu	femur_r_imu	tibia_r_imu
20.415	-77.130000,-73.270000,0.000000	17.210000,-81.600000,0.000000	84.650000,17.300000,0.000000
20.549	-77.000000,-73.220000,0.000000	20.180000,-81.390000,0.000000	84.760000,16.530000,0.000000
20.670	-77.100000,-73.220000,0.000000	21.240000,-81.440000,0.000000	84.320000,15.860000,0.000000
20.804	-76.900000,-73.270000,0.000000	22.170000,-81.150000,0.000000	84.170000,15.390000,0.000000
20.939	-77.420000,-73.590000,0.000000	23.070000,-81.040000,0.000000	84.050000,14.840000,0.000000
21.059	-77.780000,-73.760000,0.000000	22.800000,-80.860000,0.000000	84.330000,14.460000,0.000000
21.195	-78.660000,-73.810000,0.000000	23.000000,-80.830000,0.000000	84.340000,14.210000,0.000000
21.330	-78.630000,-74.010000,0.000000	23.460000,-80.600000,0.000000	84.380000,14.020000,0.000000
21.449	-79.160000,-73.880000,0.000000	22.230000,-80.690000,0.000000	84.480000,13.770000,0.000000
21.585	-79.180000,-73.960000,0.000000	22.980000,-80.960000,0.000000	84.560000,13.320000,0.000000
21.719	-79.310000,-73.940000,0.000000	22.310000,-81.080000,0.000000	84.360000,12.750000,0.000000
21.839	-79.940000,-73.920000,0.000000	21.210000,-81.320000,0.000000	83.950000,12.360000,0.000000
21.974	-80.630000,-74.110000,0.000000	21.410000,-81.300000,0.000000	83.860000,12.090000,0.000000
22.110	-80.790000,-74.120000,0.000000	21.730000,-81.390000,0.000000	83.570000,11.640000,0.000000
22.230	-80.710000,-74.310000,0.000000	22.910000,-81.590000,0.000000	83.560000,11.510000,0.000000
22.364	-81.140000,-74.600000,0.000000	24.650000,-81.640000,0.000000	83.390000,11.400000,0.000000
22.500	-81.940000,-74.630000,0.000000	24.530000,-81.710000,0.000000	83.110000,11.150000,0.000000
22.619	-82.520000,-74.760000,0.000000	24.820000,-81.930000,0.000000	83.280000,11.020000,0.000000
22.755	-82.830000,-75.110000,0.000000	25.300000,-82.000000,0.000000	83.410000,11.110000,0.000000
22.889	-82.020000,-75.250000,0.000000	24.720000,-82.130000,0.000000	83.840000,11.300000,0.000000
23.009	-81.470000,-75.520000,0.000000	26.000000,-82.270000,0.000000	84.060000,11.280000,0.000000
23.145	-81.360000,-75.390000,0.000000	24.900000,-82.220000,0.000000	84.560000,11.200000,0.000000
23.279	-81.040000,-75.500000,0.000000	25.230000,-82.370000,0.000000	84.330000,11.100000,0.000000
23.400	-81.390000,-75.300000,0.000000	24.860000,-82.310000,0.000000	84.420000,11.420000,0.000000
23.549	-79.830000,-75.280000,0.000000	26.890000,-82.150000,0.000000	84.750000,11.580000,0.000000
23.670	-79.850000,-75.320000,0.000000	27.450000,-82.320000,0.000000	85.020000,11.620000,0.000000
23.789	-79.160000,-75.610000,0.000000	28.800000,-82.320000,0.000000	85.110000,11.890000,0.000000
23.925	-79.030000,-75.800000,0.000000	29.680000,-82.550000,0.000000	85.370000,12.040000,0.000000
24.059	-78.410000,-75.980000,0.000000	31.260000,-82.700000,0.000000	85.690000,12.260000,0.000000
24.180	-78.070000,-76.170000,0.000000	32.960000,-82.740000,0.000000	86.230000,12.210000,0.000000
24.315	-77.800000,-76.180000,0.000000	34.930000,-82.850000,0.000000	86.490000,12.450000,0.000000
24.449	-76.830000,-76.370000,0.000000	36.510000,-82.750000,0.000000	86.540000,12.690000,0.000000
24.570	-76.740000,-76.320000,0.000000	37.540000,-82.710000,0.000000	86.930000,13.020000,0.000000
24.704	-76.570000,-76.290000,0.000000	39.640000,-82.590000,0.000000	87.150000,13.160000,0.000000
24.840	-76.090000,-76.520000,0.000000	41.400000,-82.550000,0.000000	87.180000,13.560000,0.000000
24.959	-75.400000,-76.640000,0.000000	43.620000,-82.610000,0.000000	87.110000,13.880000,0.000000
25.094	-75.030000,-76.650000,0.000000	43.060000,-82.620000,0.000000	87.470000,14.170000,0.000000
25.230	-74.730000,-76.730000,0.000000	44.800000,-82.620000,0.000000	87.740000,14.310000,0.000000
25.349	-73.810000,-76.660000,0.000000	45.840000,-82.570000,0.000000	88.180000,14.700000,0.000000
25.484	-74.220000,-76.640000,0.000000	47.450000,-82.680000,0.000000	88.040000,14.810000,0.000000
25.620	-73.240000,-76.840000,0.000000	48.130000,-82.570000,0.000000	87.720000,15.000000,0.000000
25.740	-74.850000,-76.980000,0.000000	50.060000,-82.170000,0.000000	87.480000,15.580000,0.000000
25.874	-74.210000,-77.170000,0.000000	55.370000,-81.370000,0.000000	86.900000,17.150000,0.000000
26.010	-71.060000,-77.250000,0.000000	60.580000,-79.810000,0.000000	86.210000,18.470000,0.000000
26.130	-67.460000,-77.090000,0.000000	65.250000,-77.760000,0.000000	85.410000,18.810000,0.000000
26.264	-62.580000,-77.110000,0.000000	68.750000,-74.910000,0.000000	84.580000,19.370000,0.000000
26.400	-57.730000,-77.030000,0.000000	73.180000,-71.130000,0.000000	83.230000,20.370000,0.000000
26.519	-51.660000,-76.720000,0.000000	77.260000,-65.590000,0.000000	82.890000,21.060000,0.000000
26.655	-46.160000,-76.100000,0.000000	80.520000,-59.820000,0.000000	83.390000,21.680000,0.000000
26.789	-40.080000,-75.140000,0.000000	83.330000,-53.140000,0.000000	83.780000,20.420000,0.000000
26.910	-34.600000,-73.800000,0.000000	86.310000,-47.000000,0.000000	84.460000,18.290000,0.000000
27.045	-29.860000,-72.480000,0.000000	89.370000,-39.780000,0.000000	85.280000,17.150000,0.000000
27.179	-22.430000,-71.270000,0.000000	91.760000,-33.070000,0.000000	86.610000,14.470000,0.000000
27.300	-16.770000,-70.460000,0.000000	94.040000,-26.920000,0.000000	87.450000,12.670000,0.000000
27.434	-12.020000,-69.880000,0.000000	95.850000,-21.340000,0.000000	88.040000,11.640000,0.000000
27.570	-8.640000,-69.370000,0.000000	97.200000,-16.900000,0.000000	88.530000,10.510000,0.000000
27.689	-5.370000,-68.970000,0.000000	98.310000,-12.960000,0.000000	89.010000,9.550000,0.000000
27.825	-3.120000,-68.600000,0.000000	99.090000,-9.730000,0.000000	89.410000,8.770000,0.000000
27.959	-1.290000,-68.470000,0.000000	99.560000,-7.020000,0.000000	89.830000,8.260000,0.000000
28.079	-0.130000,-68.610000,0.000000	99.980000,-5.070000,0.000000	90.320000,7.480000,0.000000
28.215	1.610000,-68.750000,0.000000	100.100000,-3.400000,0.000000	90.670000,7.180000,0.000000
28.349	2.590000,-68.870000,0.000000	100.210000,-2.290000,0.000000	90.790000,6.860000,0.000000
28.470	2.940000,-69.060000,0.000000	100.290000,-1.470000,0.000000	91.050000,6.530000,0.000000
28.604	3.680000,-69.170000,0.000000	100.200000,-0.770000,0.000000	91.200000,6.240000,0.000000
28.740	4.340000,-69.390000,0.000000	100.070000,-0.320000,0.000000	91.280000,5.890000,0.000000
28.859	4.430000,-69.580000,0.000000	99.740000,0.060000,0.000000	91.210000,5.740000,0.000000
28.994	4.520000,-69.770000,0.000000	99.250000,0.100000,0.000000	91.230000,5.510000,0.000000
29.130	4.400000,-69.960000,0.000000	98.950000,-0.040000,0.000000	91.280000,5.460000,0.000000
29.249	4.150000,-70.130000,0.000000	98.620000,-0.400000,0.000000	91.270000,5.380000,0.000000
29.384	3.510000,-70.310000,0.000000	98.080000,-0.880000,0.000000	91.240000,5.470000,0.000000
29.519	3.250000,-70.230000,0.000000	97.450000,-1.370000,0.000000	91.230000,5.480000,0.000000
29.640	2.590000,-70.430000,0.000000	97.100000,-2.000000,0.000000	91.220000,5.610000,0.000000
29.774	2.480000,-70.760000,0.000000	96.530000,-2.560000,0.000000	91.220000,5.620000,0.000000
29.910	2.160000,-71.010000,0.000000	96.050000,-3.210000,0.000000	91.190000,5.760000,0.000000
